File,PID,mods_titleInfo_title_ms,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_hasModel_uri_ms,fedora_datastream_info_HOCR_ID_ms,fedora_datastream_info_JP2_ID_ms,fedora_datastream_info_TRANSCRIPT_ID_ms,Num_Pages
pitt_collection_1_test.csv,pitt:31735056284775-0147,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0261,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0044,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0419,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0476,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0089,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0182,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0251,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0346,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0322,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0456,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:aud0002,Yellow-billed Cuckoo,collection.1|collection.153,sp_large_image_cmodel,,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0405,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0374,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0239,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284734-0450,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0372,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0367,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0406,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284767-0700,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0136,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284775-0165,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0149,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0156,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0262,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284882-0334,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284726-0044,,,pageCModel,HOCR,JP2,,0
pitt_collection_1_test.csv,pitt:31735056284726-0111,,,pageCModel,HOCR,JP2,,0
