Solr_Field,Original_Heading,Count,Valid_Heading,URI,Authority,Type,Thoroughfares_Features,Action,Change_To,Changed,Note
mods_subject_name_corporate_namePart_ms,"Gustavus Adolphus Lutheran Church (Pittsburgh, Pa.)",1,"Gustavus Adolphus Lutheran Church (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"Guthrie, R. Claire",1,"Guthrie, R. Claire",,local,personal,,,,false,
mods_subject_topic_ms,"Guy, Henry.",1,"Guy, Henry",,local,personal,,replace,"Guy, Henry",true,reviewed
mods_subject_topic_ms,"Gue´rard, Nicolas, ca. 1648-1719.",1,"Guérard, Nicolas, approximately 1648-1719",http://id.loc.gov/authorities/names/n90607624,naf,personal,,replace,"Guérard, Nicolas, approximately 1648-1719",true,problematic characters
mods_subject_topic_ms,"Gwynnon, Ruth.",1,"Gwynnon, Ruth",,local,personal,,replace,"Gwynnon, Ruth",true,
mods_subject_topic_ms,"Gymnasium II (Pittsburgh, Pa.)",1,"Gymnasium II (Pittsburgh, Pa.)",,local,corporate,,,,false,
mods_subject_topic_ms,"H.A. Speer Store (Pittsburgh, Pa.)",1,"H. A. Speer Store (Pittsburgh, Pa.)",,local,corporate,,replace,"H. A. Speer Store (Pittsburgh, Pa.)",true,reviewed
mods_subject_topic_ms,"H.B. Davis Elementary School (Pittsburgh, Pa.)",1,"H. B. Davis Elementary School (Pittsburgh, Pa.)",,local,corporate,,replace,"H. B. Davis Elementary School (Pittsburgh, Pa.)",true,reviewed
mods_subject_topic_ms,"H.J. Heinz House (Pittsburgh, Pa.)",4,"H. J. Heinz House (Pittsburgh, Pa.)",,local,corporate,,replace,"H. J. Heinz House (Pittsburgh, Pa.)",true,reviewed
mods_subject_topic_ms,"H.K. Porter Building (Pittsburgh, Pa.)",3,"H. K. Porter Building (Pittsburgh, Pa.)",,local,corporate,,replace,"H. K. Porter Building (Pittsburgh, Pa.)",true,
mods_subject_topic_ms,"H.K. Poster Building (Pittsburgh, Pa.)",1,"H. K. Porter Building (Pittsburgh, Pa.)",,local,corporate,,replace,"H. K. Porter Building (Pittsburgh, Pa.)",true,
mods_subject_topic_ms,"H. K. Porter Company (Pittsburgh, Pa.)",1,"H. K. Porter Company (Pittsburgh, Pa.)",,local,corporate,,,,false,reviewed
mods_subject_topic_ms,H. C. Frick Company.,1,H.C. Frick & Company,http://id.loc.gov/authorities/names/no2014069821,naf,corporate,,replace,H.C. Frick & Company,true,reviewed
mods_subject_topic_ms,University of Pittsburgh.Heinz Chapel.,3,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,Pittsburgh. H.J. Heinz Company.,2,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,H.J. Heinz Company.Exhibitions.,2,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Atlantic City, H.J.).Heinz Ocean Pier.",2,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
