solr_field,machine_name,required,label,prefix,notes
mods_name_personal_defendant_namePart_ms,field_linked_agent,,Contributors,relators:dfd:,Copy to Linked Agent with prefix of relators:dfd:person:
mods_name_personal_director_namePart_ms,field_linked_agent,,Contributors,relators:drt:,Copy to Linked Agent with prefix of relators:drt:person:
mods_name_personal_editor_of_moving_image_work_namePart_ms,field_linked_agent,,Contributors,relators:edm:,Copy to Linked Agent with prefix of relators:edm:person:
mods_name_personal_engraver_namePart_ms,field_linked_agent,,Contributors,relators:egr:,Copy to Linked Agent with prefix of relators:egr:person:
mods_name_personal_film_director_namePart_ms,field_linked_agent,,Contributors,relators:fmd:,Copy to Linked Agent with prefix of relators:fmd:person:
mods_name_personal_film_producer_namePart_ms,field_linked_agent,,Contributors,relators:fmp:,Copy to Linked Agent with prefix of relators:fmp:person:
mods_name_personal_former_owner_namePart_ms,field_linked_agent,,Contributors,relators:fmo:,Copy to Linked Agent with prefix of relators:fmo:person:
mods_name_personal_illustrator_namePart_ms,field_linked_agent,,Contributors,relators:ill:,Copy to Linked Agent with prefix of relators:ill:person:
mods_name_personal_inscriber_namePart_ms,field_linked_agent,,Contributors,relators:ins:,Copy to Linked Agent with prefix of relators:ins:person:
mods_name_personal_instrumentalist_namePart_ms,field_linked_agent,,Contributors,relators:itr:,Copy to Linked Agent with prefix of relators:itr:person:
mods_name_personal_librettist_namePart_ms,field_linked_agent,,Contributors,relators:lbt:,Copy to Linked Agent with prefix of relators:lbt:person:
mods_name_personal_narrator_namePart_ms,field_linked_agent,,Contributors,relators:nrt:,Copy to Linked Agent with prefix of relators:nrt:person:
mods_name_personal_performer_namePart_ms,field_linked_agent,,Contributors,relators:prf:,Copy to Linked Agent with prefix of relators:prf:person:
mods_name_personal_photographer_namePart_ms,field_linked_agent,,Contributors,relators:pht:,Copy to Linked Agent with prefix of relators:pht:person:
mods_name_personal_printer_namePart_ms,field_linked_agent,,Contributors,relators:prt:,Copy to Linked Agent with prefix of relators:prt:person:
mods_name_personal_publisher_namePart_ms,field_linked_agent,,Contributors,relators:pbl:,Copy to Linked Agent with prefix of relators:pbl:person:
mods_name_personal_researcher_namePart_ms,field_linked_agent,,Contributors,relators:res:,Copy to Linked Agent with prefix of relators:res:person:
mods_name_personal_singer_namePart_ms,field_linked_agent,,Contributors,relators:sng:,Copy to Linked Agent with prefix of relators:sng:person:
mods_name_personal_speaker_namePart_ms,field_linked_agent,,Contributors,relators:spk:,Copy to Linked Agent with prefix of relators:spk:person:
mods_name_personal_author_of_introduction_etc._namePart_ms,field_linked_agent,,Contributors,relators:aui:,Copy to Linked Agent with prefix of relators:aui:person:
mods_originInfo_encoding_marc_qualifier_approximate_dateCreated_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_encoding_marc_point_start_dateCreated_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_encoding_marc_point_end_dateCreated_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_encoding_marc_point_end_dateIssued_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_encoding_iso8601_keyDate_yes_qualifier_inferred_dateCreated_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_encoding_iso8601_keyDate_yes_qualifier_approximate_dateCreated_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_encoding_iso8601_keyDate_yes_qualifier_questionable_dateIssued_ms,field_edtf_date,,Date,,Copy to Date
RELS_EXT_dateIssued_literal_ms,field_edtf_date,,Date,,Copy to Date
mods_subject_cartographics_coordinates_ms,field_coordinates_text,,Coordinates (Text),,
mods_subject_name_conference_namePart_ms,field_subjects_name,,Subject (Name),conference:,Copy to Subject (Name) with prefix of conference: (Added Conference taxonomy to this field.)
mods_subject_name_corporate_namePart_ms,field_subjects_name,,Subject (Name),,Copy to Subject (Name) with prefix of corporate_body:
mods_subject_name_namePart_ms,field_subjects_name,,Subject (Name),,"Copy to Subject (Name) field, need to manually check if person or corporate_body prefix."
mods_identifier_isbn_ms,field_isbn,,ISBN,,
mods_note_address_ms,field_addresses,,Addresses,,Copy to Addresses
mods_note_acquisition_ms,field_note,,Note,Acquisition:,Copy to Note
mods_note_bibliography_ms,field_note,,Note,Bibliography:,Copy to Note
mods_note_creation/production_credits_ms,field_note,,Note,Production Credits:,Copy to Note
mods_note_date/sequential_designation_ms,field_note,,Note,Sequential Designation:,Copy to Note
mods_note_donor_ms,field_note,,Note,Donor:,Copy to Note
mods_note_numbering_ms,field_note,,Note,Numbering:,Copy to Note
mods_note_original_version_ms,field_note,,Note,Original Version:,Copy to Note
mods_note_owner_ms,field_land_grantor,,Land Grantor,,Copy to Land Grantor
mods_note_performers_ms,field_note,,Note,Performers:,Copy to Note
mods_note_reproduction_ms,field_note,,Note,Repoduction:,Copy to Note
mods_note_thesis_ms,field_note,,Note,Thesis:,Copy to Note
mods_note_venue_ms,field_note,,Note,Venue:,Copy to Note
mods_note_features_ms,field_geographic_features,,Geographic Features,,Copy to Geographic Features
mods_note_streets_ms,field_thoroughfares,,Thoroughfares,,Copy to Thoroughfares
mods_relatedItem_series_note_numbering_ms,field_note,,Note,Numbering:,Copy to Note
mods_accessCondition_copyright_rights.holder_name_ms,field_copyright_holder,,Copyright Holder,,"Custom plain text field, long"
mods_accessCondition_copyright_rights.holder_note_ms,field_rights_notes,,Copyright Note,,"Custom plain text field, long"
mods_accessCondition_copyright_general.note_ms,field_rights_notes,,Copyright Note,,Copy to Copyright Note
mods_relatedItem_series_originInfo_frequency_ms,field_frequency,,Frequency,,"Custom text plain, long"
mods_originInfo_frequency_ms,field_frequency,,Frequency,,Copy to Frequency
mods_identifier_issn_ms,field_issn,,ISSN,,"Custom text plain, repeatable"
mods_identifier_issn-l_ms,field_issn,,ISSN,,Copy to ISSN
mods_relatedItem_host_originInfo_issuance_ms,field_mode_of_issuance,,Mode of Issuance,,Copy to Mode of Issuance
mods_relatedItem_series_originInfo_issuance_ms,field_mode_of_issuance,,Mode of Issuance,,Copy to Mode of Issuance
RELS_EXT_preservicaExportDate_literal_dt,field_preservica_date,,Preservica Export Date,,Custom EDTF field
RELS_EXT_preservicaRef_literal_s,field_preservica_id,,Preservica Identifier,,Custom plain text field
mods_accessCondition_copyright_copyright_status_ms,field_rights_statement,,Rights Statement,,Custom taxonomy
mods_subject_cartographics_scale_ms,field_scale,,Scale,,Custom plain text field
mods_relatedItem_host_note_prefercite_ms,field_source_citation,,Source Citation,,"Custom formatted text, long"
mods_relatedItem_note_prefercite_ms,field_source_citation,,Source Citation,,Copy to Source Citation
mods_relatedItem_host_originInfo_dateCreated_ms,field_source_collection,,Source Collection Title,,Copy to Source Collection Title
mods_relatedItem_host_identifier_ms,field_source_collection_id,,Source Collection Identifier,,Custom taxonomy
mods_relatedItem_host_identifier_local-asc_ms,field_source_collection_id,,Source Collection Identifier,,Copy to Source Collection Identifier
mods_relatedItem_host_note_container_ms,field_source_location,,Archival Container,,"Custom plain text, long"
mods_relatedItem_host_note_otherlevel_ms,field_series_information,,Series Information,,Copy to Source Location
mods_relatedItem_host_note_series_ms,field_series_information,,Series Information,,Copy to Source Location
mods_relatedItem_host_note_subseries_ms,field_series_information,,Series Information,,Copy to Source Location
,field_source_repository,,Source Repository,,Custom taxonomy
mods_subject_titleInfo_title_ms,field_subject_title,,Subject (Title),,"Custom taxonomy, repeatable"
mods_subject_titleInfo_partName_ms,field_subject_title,,Subject (Title),,Copy to Subject (Title)
,field_access_terms,,Access Control,,Controls access via Groups. Terms come from Islandora Access taxonomy.
RELS_EXT_isMemberOfCollection_uri_ms,field_member_of,yes,Member of,,"If ingesting into a pre-existing collection in Drupal, put its node ID here. Otherwise, leave blank. This column is required by Workbench (even if empty)."
,field_display_hints,,,,Controls how objects display. Terms come from Islandora Display taxonomy.
fedora_datastream_info_JP2_ID_ms,file,,,,Path to main file (original file from which derivatives will be made).
fedora_datastream_info_PDF_ID_ms,file,,,,Path to main file (original file from which derivatives will be made).
fedora_datastream_info_TN_ID_ms,thumbnail,,,,
fedora_datastream_info_TN_LARGE_ID_ms,thumbnail_large,,,,
fedora_datastream_info_PROXY_MP3_ID_ms,field_media_oembed_video,,,,
fedora_datastream_info_MKV_ID_ms,field_media_oembed_video,,,,
RELS_EXT_isMemberOfSite_uri_ms,field_domain_access,yes,Domain,,"Use to fill in Domain column; then delete.

Determines on which domain(s) an object will display to anonymous users. Example entry is: historicpittsburgh_org|digital_library_pitt_edu"
